Gender,Category,Sub Category,Link
Man,Trousers,Chinos,https://www.zara.com/in/en/man-trousers-chinos-l845.html?v1=2432064
Man,Trousers,Corduroy,https://www.zara.com/in/en/man-trousers-corduroy-l2528.html?v1=2432092
Man,Trousers,Joggers,https://www.zara.com/in/en/man-trousers-joggers-l849.html?v1=2432098
Man,Trousers,Cargo,https://www.zara.com/in/en/man-trousers-cargo-l1780.html?v1=2432067
Man,Trousers,Tailored,https://www.zara.com/in/en/man-trousers-formal-l847.html?v1=2432075
Man,Trousers,Wide leg,https://www.zara.com/in/en/man-trousers-wide-l4143.html?v1=2432088
Man,Trousers,Linen,https://www.zara.com/in/en/man-trousers-linen-l851.html?v1=2432072
Man,Trousers,Shorts,https://www.zara.com/in/en/man-bermudas-l592.html?v1=2432093
Man,Jeans,Under 2950,https://www.zara.com/in/en/man-trend-68-l5683.html?v1=2432102
Man,Hoodie & sweatshirts,Hoodies,https://www.zara.com/in/en/man-sweatshirts-hoodies-l1525.html?v1=2432226
Man,Hoodie & sweatshirts,Quarter zip,https://www.zara.com/in/en/man-sweatshirts-quarter-zip-l7128.html?v1=2432220
Man,Hoodie & sweatshirts,Round neck,https://www.zara.com/in/en/man-sweatshirts-round-colors-l3091.html?v1=2432209
Man,Hoodie & sweatshirts,Prints,https://www.zara.com/in/en/man-sweatshirts-printed-l828.html?v1=2432235
Man,T-shirts,Long sleeve,https://www.zara.com/in/en/man-tshirts-long-length-l863.html?v1=2432015
Man,T-shirts,Plain & Polo shirts,https://www.zara.com/in/en/man-tshirts-plain-l865.html?v1=2432014
Man,T-shirts,Sleeveless,https://www.zara.com/in/en/man-tshirts-sleeveless-l870.html?v1=2432034
