Gender,Category,Sub Category,Link
Man,Jackets,Leather effect,https://www.zara.com/in/en/man-jackets-faux-leather-l650.html?v1=2467338
Man,Jackets,Puffers,https://www.zara.com/in/en/man-outerwear-padded-l722.html?v1=2467342
Man,Jackets,100% down,https://www.zara.com/in/en/man-jackets-l640.html?v1=2522372
Man,Jackets,Leather,https://www.zara.com/in/en/man-outerwear-leather-l4550.html?v1=2469850
Man,Jackets,Shearling,https://www.zara.com/in/en/man-shearling-jackets-l8170.html?v1=2496353
Man,Jackets,Winbreaks,https://www.zara.com/in/en/man-outerwear-rain-l4547.html?v1=2519401
Man,Jackets,Denim,https://www.zara.com/in/en/man-jackets-denim-l648.html?v1=2467337
Man,Jackets,Gilet,https://www.zara.com/in/en/man-outerwear-vests-l730.html?v1=2467343
Man,Jackets,Bomber,https://www.zara.com/in/en/man-jackets-bombers-l645.html?v1=2467339
Man,Jackets,Overshirts,https://www.zara.com/in/en/man-overshirts-l3174.html?v1=2473842
