Gender,Category,Sub Category,Link
Woman,Coat & puffers,coats,https://www.zara.com/in/en/woman-outerwear-coats-l1188.html?v1=2419020
Woman,Coat & puffers,Puffer jackts,https://www.zara.com/in/en/woman-outerwear-padded-l1195.html?v1=2419036
Woman,Coat & puffers,Faux fur,https://www.zara.com/in/en/woman-outerwear-fur-l1189.html?v1=2419003
Woman,Coat & puffers,Trench coats,https://www.zara.com/in/en/woman-outerwear-trench-l1202.html?v1=2419035
Woman,Jackets,Double-faces & biker,https://www.zara.com/in/en/woman-outerwear-fur-l1189.html?v1=2420281
Woman,Jackets,Bomber jackets,https://www.zara.com/in/en/woman-jackets-bombers-l1116.html?v1=2417747
Woman,Jackets,Quilted,https://www.zara.com/in/en/woman-outerwear-quilted-l2169.html?v1=2420277
Woman,Dresses,Midi & maxi,https://www.zara.com/in/en/woman-dresses-midi-l1081.html?v1=2420900
Woman,Dresses,Mini,https://www.zara.com/in/en/woman-dresses-mini-l1083.html?v1=2420826
Woman,Dresses,Jumpsuits,https://www.zara.com/in/en/woman-jumpsuits-l1150.html?v1=2420907
Woman,Dresses,Party,https://www.zara.com/in/en/woman-dresses-party-l1581.html?v1=2420909
Woman,Dresses,Long sleeve,https://www.zara.com/in/en/woman-dresses-long-sleeve-l1776.html?v1=2420837
Woman,Dresses,Black,https://www.zara.com/in/en/woman-dresses-black-l1595.html?v1=2420904
Woman,Dresses,Velvet,https://www.zara.com/in/en/woman-dresses-velvet-l2183.html?v1=2420887
Woman,Blazers & waistcoats,Black,https://www.zara.com/in/en/woman-blazers-black-l2173.html?v1=2420925
Woman,Blazers & waistcoats,Cropped,https://www.zara.com/in/en/woman-blazers-crop-l4410.html?v1=2420928
Woman,Blazers & waistcoats,Waistcoat,https://www.zara.com/in/en/woman-blazers-vest-l4569.html?v1=2420937
Woman,Tops & bodysuits,Bodysuits,https://www.zara.com/in/en/woman-body-l1057.html?v1=2419927
Woman,Tops & bodysuits,Knitwear,https://www.zara.com/in/en/woman-knitwear-tops-l1167.html?v1=2419930
Woman,Tops & bodysuits,Long sleeve,https://www.zara.com/in/en/woman-tops-long-sleeve-l1789.html?v1=2419905
Woman,Shirts & blouses,Blouses,https://www.zara.com/in/en/woman-shirts-blouses-l1221.html?v1=2420336
Woman,Shirts & blouses,Whites,https://www.zara.com/in/en/woman-shirts-white-shirts-l2208.html?v1=2420331
Woman,Shirts & blouses,Stripes,https://www.zara.com/in/en/woman-shirts-striped-l1247.html?v1=2420346
Woman,Shirts & blouses,Basics,https://www.zara.com/in/en/woman-shirts-basics-l1218.html?v1=2420365
Woman,Shirts & blouses,Prints,https://www.zara.com/in/en/woman-shirts-printed-l1242.html?v1=2420363
Woman,Shirts & blouses,Satin,https://www.zara.com/in/en/woman-shirts-satin-l4089.html?v1=2420364
Woman,Trousers,High-waist,https://www.zara.com/in/en/woman-trousers-high-waist-l1779.html?v1=2420787
Woman,Trousers,Joggers,https://www.zara.com/in/en/woman-trousers-joggers-l1346.html?v1=2419265
Woman,Trousers,Wide leg,https://www.zara.com/in/en/woman-trousers-wide-l1360.html?v1=2420777
Woman,Trousers,Tailored,https://www.zara.com/in/en/woman-trousers-pleated-l1352.html?v1=2420799
Woman,Trousers,Basics,https://www.zara.com/in/en/woman-trousers-basics-l1336.html?v1=2420802
Woman,Trousers,Leggings,https://www.zara.com/in/en/woman-trousers-leggings-l1348.html?v1=2420797
Woman,T-shirts,Basics,https://www.zara.com/in/en/woman-tshirts-basics-l1364.html?v1=2420405
Woman,T-shirts,Long sleeve,https://www.zara.com/in/en/woman-tshirts-long-sleeved-l1373.html?v1=2420391
Woman,T-shirts,Short sleeve,https://www.zara.com/in/en/woman-tshirts-short-sleeved-l1380.html?v1=2420409
Woman,T-shirts,Graphics,https://www.zara.com/in/en/woman-tshirts-printed-l1378.html?v1=2420387
Woman,T-shirts,Straps,https://www.zara.com/in/en/woman-tshirts-sleeveless-l1382.html?v1=2420394
Woman,T-shirts,Whites,https://www.zara.com/in/en/woman-tshirts-white-l2225.html?v1=2420397
Woman,Cardigans & sweaters,Jumpers,https://www.zara.com/in/en/woman-knitwear-sweaters-l1165.html?v1=2419845
Woman,Cardigans & sweaters,Cardigans,https://www.zara.com/in/en/woman-knitwear-cardigans-l1156.html?v1=2419847
Woman,Skirts & shorts,Midi,https://www.zara.com/in/en/woman-skirts-midi-l1305.html?v1=2420430
Woman,Skirts & shorts,Mini,https://www.zara.com/in/en/woman-skirts-mini-l1307.html?v1=2420447
Woman,Skirts & shorts,Shorts,https://www.zara.com/in/en/woman-trousers-shorts-l1355.html?v1=2420433
Woman,Skirts & shorts,Skorts,https://www.zara.com/in/en/woman-shorts-skorts-l1297.html?v1=2420439
Woman,Skirts & shorts,Satin,https://www.zara.com/in/en/woman-skirts-satin-l2346.html?v1=2420449
Woman,Skirts & shorts,Printed,https://www.zara.com/in/en/woman-skirts-printed-l7883.html?v1=2462835
Woman,Skirts & shorts,Denim,https://www.zara.com/in/en/woman-skirts-denim-l1703.html?v1=2420425
