Handle,Title,Body (HTML),Vendor,Product Category,Type,Command,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
04231302,T-SHIRT WITH BUTTONED NECK,,Zara,,test,REPLACE,"Man, test, test",TRUE,Color,Black,Size,S,,,,,shopify,1000.0,deny,manual,2950.00,2950.00,TRUE,,,https://static.zara.net/assets/public/428a/3527/80854561bbbc/c2b4d8d9e9af/04231302800-p/04231302800-p.jpg?ts=1720783694619&w=2048,1,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/428a/3527/80854561bbbc/c2b4d8d9e9af/04231302800-p/04231302800-p.jpg?ts=1720783694619&w=2048,,,,,,active
04231302,,,Zara,,test,REPLACE,,,Color,Black,Size,M,,,,,shopify,1000.0,deny,manual,2950.00,2950.00,TRUE,,,https://static.zara.net/assets/public/b2e6/b987/3ba84af9bce9/a92def016d2e/04231302800-a1/04231302800-a1.jpg?ts=1720783694458&w=2048,2,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/428a/3527/80854561bbbc/c2b4d8d9e9af/04231302800-p/04231302800-p.jpg?ts=1720783694619&w=2048,,,,,,
04231302,,,Zara,,test,REPLACE,,,Color,Black,Size,L,,,,,shopify,1000.0,deny,manual,2950.00,2950.00,TRUE,,,https://static.zara.net/assets/public/c1dd/753d/0e7f4e1ebb21/20b2c703feb4/04231302800-a2/04231302800-a2.jpg?ts=1720783694830&w=2048,3,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/428a/3527/80854561bbbc/c2b4d8d9e9af/04231302800-p/04231302800-p.jpg?ts=1720783694619&w=2048,,,,,,
04231302,,,Zara,,test,REPLACE,,,Color,Black,Size,XL,,,,,shopify,1000.0,deny,manual,2950.00,2950.00,TRUE,,,https://static.zara.net/assets/public/ec40/6ad8/48e04a7e939a/375d9ba23de2/04231302800-a3/04231302800-a3.jpg?ts=1720783694781&w=2048,4,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/428a/3527/80854561bbbc/c2b4d8d9e9af/04231302800-p/04231302800-p.jpg?ts=1720783694619&w=2048,,,,,,
04231302,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/aea6/4e3c/d8a647589ade/6a5692ba1ede/04231302800-a4/04231302800-a4.jpg?ts=1720783695353&w=2048,5,,,,,,,,,,,,,,,,,,,,,,,,
04231302,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/3e58/53d9/a6d745989814/5df9ed72cb7a/04231302800-e1/04231302800-e1.jpg?ts=1727006276622&w=2048,6,,,,,,,,,,,,,,,,,,,,,,,,
04231302,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/ad70/e6cb/9bd94209a509/50ff1ac2c027/04231302800-e2/04231302800-e2.jpg?ts=1720685318030&w=2048,7,,,,,,,,,,,,,,,,,,,,,,,,
04231302,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/3aaa/85c0/a2a546d6946f/8967256a3c83/04231302800-e3/04231302800-e3.jpg?ts=1720685329866&w=2048,8,,,,,,,,,,,,,,,,,,,,,,,,
05584360,BASIC SLIM FIT T-SHIRT,,Zara,,test,REPLACE,"Man, test, test",TRUE,Color,Charcoal grey,Size,S,,,,,shopify,1000.0,deny,manual,1950.00,1950.00,TRUE,,,https://static.zara.net/assets/public/f495/8f7c/c1b8497894eb/e698f65cb3da/05584360818-p/05584360818-p.jpg?ts=1729861113631&w=2048,1,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/f495/8f7c/c1b8497894eb/e698f65cb3da/05584360818-p/05584360818-p.jpg?ts=1729861113631&w=2048,,,,,,active
05584360,,,Zara,,test,REPLACE,,,Color,Charcoal grey,Size,M,,,,,shopify,1000.0,deny,manual,1950.00,1950.00,TRUE,,,https://static.zara.net/assets/public/b5bb/0918/ebc5415cb110/dd509d56f940/05584360818-a1/05584360818-a1.jpg?ts=1729854510000&w=2048,2,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/f495/8f7c/c1b8497894eb/e698f65cb3da/05584360818-p/05584360818-p.jpg?ts=1729861113631&w=2048,,,,,,
