sku_base,colors
05070660,812|720|752
08073259,704
03046328,800|450|712
08073270,051
03046060,800
02753334,800
03046274,802|712
07484522,800
03046028,710
09575985,800
04174866,922|800|805
08073227,800
04341763,916
02193105,330
09646606,800
05584656,800
00264737,800|681
05584694,800
08741261,800
09857071,550
00387157,800
09216240,070
05039408,085
03300542,251
08949179,330
09977185,800
09799617,641
05039807,700
08815399,610
08611459,685|712|800
02016782,800
02045100,681
05029158,671
09196070,700
09146092,600
09483262,800
08741076,800
05584675,800
09649617,800
03067390,716
05029163,712
04770669,800|717
00858464,800|700|606
05584671,712|800|520
09935279,330
09745628,808
02180258,705
08452662,808
08227214,712
03666175,330
05039626,527|700|800
03152304,791
02183246,800
05644995,716|800
04764282,800
03067290,800
02017572,501
09228617,622
09953617,800
09280071,490
02298654,712
03152243,716
05039802,500
06962231,807
04174670,822|626
09315118,920
02678246,803
02731297,800
00264736,670
03471108,914
08741267,600
05536165,105
09305252,069
09189133,084
09121262,800
08922366,829
03067251,642
03067253,709
03046323,610
05063848,717
05029159,330
00779064,400
03152222,800
04938112,700
09662617,800|903
09927617,507
09645609,800
09371617,527
01165513,445
01058458,819
02157225,721
04813841,800
05039388,700|800
01058467,472|803|800
05039813,051
00264670,442|800
00085633,670
00858800,515
09333331,664
03152320,250
05039397,730
02034610,802
03152233,818
07969223,407
02731298,800
03152249,800
02157254,800
09965281,518
09920948,800
05252281,401
05644940,500
03067210,800
09482262,800
09139222,330
03067237,800
08841460,800|600
08625548,800
02142176,401
09580072,800
09145276,330
05063840,922
09783594,800
09667592,033
03067380,684
09668581,870
05063823,800
09665838,800
00881353,800
04043185,800
09565976,800
02298183,330
09763072,800
09878160,600
09588620,800
09310255,330
08686635,800|084|087
05070633,250
00264534,800
05039279,037
04772381,502|800
04333243,681
02142269,401
08795653,712
08653754,620
00106620,800
09598230,401
09251949,800
09281463,700
03897166,330
03897165,800
08372323,505
08818528,712
00881372,251
03067220,800
05584697,800|681|712
05039393,700|800|898
09128560,605
04764245,741|800
01058940,800|752
00264530,681|700|800
03736263,802
05070628,800
09882604,942
02731308,800
08246249,407
09532552,800
03067230,800
04764287,800
03859126,800
02142201,250
01889157,427
09860188,800
00089617,800
02180226,716
09388072,756
04764271,700
00264533,800
04772268,409
08351238,093
04764264,926
04387243,800
04387249,800
03653006,812
05063822,808
01165931,303|800
05063859,800
05644934,898|719|720
02142140,401
04772244,800
05536207,898
08372263,800
00050134,400
09895631,800
06050402,898
00264870,814
05039396,684
01165538,800
09363307,401
04043273,250
09119556,500
09145227,330
09063587,804
09057777,800
03641861,800|710
02142210,620
06929282,443
03641837,912|800|621
05029701,084
02731261,812
06929281,443
00387059,533
04437254,505|800
08045571,800
01067622,250
07969233,800
04770451,737
08462896,515
05029165,515
03897160,800
03992484,818
07969229,800
07969228,800
08287896,712
08372090,800
08404164,550
08313266,800
08211759,251
04333242,507
09304459,800
02731301,800
00051569,084
