sku_base,cols_sz
05070660,"812/S,M|720/S,M,L,XL|752/S,M,L,XL"
08073259,"704/XS,S,M"
03046328,"800/XS,L,XL|450/S,M,L,XL|712/XS,S,M,L"
08073270,051/M
03046060,"800/XS,S,M"
02753334,800/L
03046274,"802/XS,S,M,L|712/XS,S,M,L"
07484522,"800/XS,S,M,XL"
03046028,"710/XS,S,M"
09575985,800/M
04174866,"922/S,M,L|800/S,M,L|805/S,M,L"
08073227,"800/XS,S,M"
04341763,"916/XS,S,M,L"
02193105,"330/XS,S,M,L,XL"
09646606,"800/S,M"
05584656,800/L
00264737,"800/S,XL|681/S,M"
05584694,800/S
08741261,"800/S,M"
09857071,"550/XS,S,M,L"
00387157,"800/XS,S,M"
09216240,070/XL
05039408,"085/S,M"
03300542,251/M
08949179,"330/XS,S,L"
09977185,"800/XS,S,M"
09799617,"641/XS,S,M,L,XL"
05039807,"700/S,L"
08815399,610/M
08611459,"685/XS|712/XS,XL|800/XS,S"
02016782,"800/XS,S"
02045100,681/M
05029158,"671/XS,S,M,L"
09196070,"700/XS,S,L"
09146092,600/L
09483262,"800/XS,S"
08741076,"800/XS,S,M,XL"
05584675,"800/S,M"
09649617,"800/S,M,L"
03067390,"716/XS,S,M,L"
05029163,712/S
04770669,"800/S,M|717/S,M"
00858464,"800/S,M,L|700/S,M,L|606/S,M"
05584671,"712/M|800/S,M|520/S,L"
09935279,"330/XS,S"
09745628,808/S
02180258,"705/XS,S,M"
08452662,808/S
08227214,712/S
03666175,330/L
05039626,"527/S|700/L|800/S,M,L"
03152304,"791/XS,S,M,L,XL"
02183246,"800/S,M,L,XL"
05644995,"716/S|800/S,M"
04764282,"800/XS,M"
03067290,"800/XS,S,M,L,XL"
02017572,"501/XS,S,L"
09228617,"622/XS,S,M"
09953617,"800/XS,S"
09280071,490/S
02298654,712/M
03152243,"716/XS,S"
05039802,500/M
06962231,"807/S,L,XL"
04174670,"822/XS,M,L|626/S"
09315118,"920/XS,M,L,XL"
02678246,"803/XS,S,M,L,XL"
02731297,"800/XS,S,M,L"
00264736,"670/S,M,L"
03471108,914/M
08741267,"600/XS,S,M"
05536165,105/S
09305252,069/XS
09189133,"084/XS,S,M,L,XL"
09121262,"800/XS,S,M,L,XL"
08922366,"829/XS,S,M,XL"
03067251,"642/XS,S,M,L"
03067253,"709/XS,S,M,L,XL"
03046323,"610/XS,S,M,XL"
05063848,"717/S,M,L"
05029159,"330/XS,M"
00779064,"400/XS,S"
03152222,"800/XS,S,M,L"
04938112,700/S
09662617,"800/S,M|903/L"
09927617,507/S
09645609,"800/XS,S,M,L,XL"
09371617,"527/S,M"
01165513,"445/S,M"
01058458,819/S
02157225,"721/XS,S,M"
04813841,"800/S,M,L"
05039388,"700/S,M|800/M"
01058467,"472/S,M|803/S,M,L|800/S"
05039813,"051/S,M,L"
00264670,"442/S,M|800/S"
00085633,670/S
00858800,"515/S,M"
09333331,"664/XS,S,M"
03152320,"250/XS,S,M"
05039397,"730/S,M"
02034610,"802/XS,S,M"
03152233,"818/XS,S,L"
07969223,"407/XS,S,M,L,XL"
02731298,"800/XS,S,M,L,XL"
03152249,"800/XS,S,M,L"
02157254,"800/XS,S,M,L,XL"
09965281,"518/XS,S,M,XL"
09920948,"800/XS,S,M,L,XL"
05252281,401/XS
05644940,"500/S,M,L"
03067210,"800/XS,S,M,L"
09482262,"800/XS,S,M,L"
09139222,330/M
03067237,"800/XS,S"
08841460,"800/XS,S|600/XS,S"
08625548,"800/S,M"
02142176,401/XS
09580072,"800/XS,S,M,XL"
09145276,"330/XS,S,M,L"
05063840,"922/S,M,L"
09783594,"800/S,M,L"
09667592,"033/XS,S,M,L"
03067380,"684/XS,S,M,L"
09668581,"870/XS,S,M,XL"
05063823,"800/S,M,L"
09665838,800/XS
00881353,800/XS
04043185,"800/S,M"
09565976,"800/XS,S,M,L"
02298183,"330/XS,S,M"
09763072,"800/L,XL"
09878160,"600/XS,S,M"
09588620,"800/XS,S,L"
09310255,330/M
08686635,"800/S,M,L|084/S,M|087/S"
05070633,250/XS
00264534,"800/S,M,L"
05039279,037/S
04772381,"502/XS,S,M|800/S"
04333243,"681/S,M,L"
02142269,"401/XS,M,L,XL"
08795653,"712/XS,S,M"
08653754,620/S
00106620,"800/XS,M,L"
09598230,"401/S,M"
09251949,"800/XS,S"
09281463,"700/S,M,L"
03897166,330/L
03897165,"800/XS,S,M"
08372323,"505/XS,M"
08818528,"712/S,M,L"
00881372,251/XS
03067220,"800/XS,S,M,L,XL"
05584697,"800/S|681/S,M|712/XS,S,M"
05039393,"700/M,L|800/S,M,L|898/S,M,L"
09128560,"605/M,L"
04764245,"741/XS,S,L,XL|800/XS,S,M,L"
01058940,"800/M,L,XL|752/S,M"
00264530,"681/S|700/S,M|800/S,M,L"
03736263,"802/XS,S,M,XL"
05070628,"800/M,L"
09882604,"942/XS,S,M,L"
02731308,"800/XS,S,M,L,XL"
08246249,"407/XS,M"
09532552,800/XS
03067230,"800/XS,S,M,L"
04764287,"800/S,M,L,XL"
03859126,"800/XS,S,L"
02142201,250/L
01889157,"427/XS,S,M,L,XL"
09860188,"800/XS,S,M,L,XL"
00089617,"800/XS,S,M,L,XL"
02180226,716/M
09388072,756/M
04764271,"700/XS,S,M,L"
00264533,"800/S,M,L"
04772268,409/L
08351238,"093/S,M,XL"
04764264,"926/XS,S,M"
04387243,800/XS
04387249,800/XS
03653006,"812/XS,S,M"
05063822,"808/S,M,L"
01165931,"303/S,M,L|800/S,M,L"
05063859,"800/S,M,L"
05644934,"898/S,M,L|719/M|720/S,M"
02142140,401/S
04772244,"800/XS,S,M,L,XL"
05536207,"898/XS,S,M"
08372263,"800/XS,S,L"
00050134,"400/XS,S,M"
09895631,"800/XS,S,M,L,XL"
06050402,"898/S,M,L"
00264870,814/S
05039396,684/S
01165538,"800/XS,S,M"
09363307,"401/XS,S,M,L,XL"
04043273,250/XS
09119556,500/L
09145227,330/M
09063587,"804/XS,S,M,L,XL"
09057777,"800/L,XL"
03641861,"800/S,M|710/S,M,L"
02142210,"620/XS,S,M,L,XL"
06929282,443/L
03641837,"912/S,M,L|800/S,M,L|621/S,M,L"
05029701,"084/XS,S"
02731261,"812/XS,S,M"
06929281,"443/XS,S"
00387059,533/XL
04437254,"505/XS|800/XS,S,M,L,XL"
08045571,800/M
01067622,"250/XS,S,M,L"
07969233,800/XL
04770451,737/S
08462896,"515/XS,S,M,L"
05029165,"515/XS,S,M,L"
03897160,"800/XS,S,M,L"
03992484,818/M
07969229,"800/XS,L,XL"
07969228,800/L
08287896,"712/XS,S,M,L,XL"
08372090,"800/M,L"
08404164,"550/XS,L"
08313266,800/XS
08211759,"251/XS,S"
04333242,"507/XS,S,M,L"
09304459,"800/XS,S,M,L,XL"
02731301,800/XS
00051569,"084/S,L"
09956936,"800/XS,S,M"
05584670,"800/S,M"
09362321,"800/XS,M,L,XL"
09172620,"800/S,M,L"
05584686,800/S
00264646,800/S
04938113,"084/S,M,L"
02678243,"800/XS,S,M,L,XL"
01044626,"800/XS,S,XL"
01165481,800/M
04437256,800/XS
08634599,"800/L,XL"
09486613,"800/XS,S"
09486627,"033/XS,S,M,L,XL"
03046988,"800/XL|506/XS,S,L"
09378597,"800/XS,S,L,XL"
08967558,033/XL
01689299,"823/XS,S,M,L,XL"
09134131,"084/S,M"
08616595,"800/XS,XL"
02753234,"800/XS,S,M"
03046356,"800/S,L"
01255753,"800/XS,S,M,L,XL"
09161114,"064/XS,S,M"
07522257,802/XS
08073245,712/S
01255853,"401/XS,S,M,L,XL"
04749867,"800/XS,S"
09234726,712/L
08902436,800/XS
01478326,"401/XS,S,M,XL"
02010703,435/S
04749803,"800/S,M,L"
05427780,"753/S,L"
02010775,"802/XS,S,M,L,XL"
00264868,"422/S,M,L|800/S,M,L"
05039337,"051/S,M"
09657617,"800/XS,L"
05039322,737/M
03905108,800/M
03905637,"701/S,M,L|250/S,M,L"
04813840,"800/S,M"
05584680,622/S
03519110,"800/S,M,L"
02142112,401/S
04192015,"401/S,M,XL|606/S,M,L|700/S,M,L"
03653104,"600/XS,S,M,L"
02142177,"485/S,M,XL"
03471024,"600/M,XL"
03920174,"505/S,M"
02893145,"400/S,M,L,XL"
03920198,"800/S,M,L"
03920190,"500/XS,S,L"
09598150,"610/S,M,L|809/S,M,L"
00264875,"802/S,M,L,XL"
03433006,104/S
05536173,401/S
03920158,"606/S,M,L"
08851109,"700/L,XL"
06427100,"715/S,M,L"
03991123,"802/XS,S"
03653013,"800/XS,S,M,L|700/XS,S,M,L|400/XS,S,M,L"
03920162,700/M
02893132,"916/S,M"
08851007,"250/L,XL|615/S,M,L,XL"
08851008,"401/L,XL"
03519007,"626/S,M,L"
03991040,"712/S,M,L"
05536115,"681/L|422/S,M,L|802/S,M,L"
04331102,"526/M|401/M,L"
03920122,600/S
04938100,"320/XS,S"
05584664,"800/S,M,L"
06427116,303/S
05536101,"081/S,M,L"
03644328,"684/S,M,L|511/L"
00085870,"800/M,L"
09676399,"942/L,XL"
05039666,"087/S,M"
02175105,"330/XS,S,M,L,XL"
03897163,"123/XS,S,M,L,XL"
08876019,"600/XS,S,M,L|800/XS,S,M"
08544207,"712/S,M"
05039398,"030/S,M"
01821021,"800/S,L"
06895259,"800/XS,S,M"
09374572,"800/XS,XL"
09520209,"800/M,XL"
08351227,"712/XS,S,M,L,XL"
03897068,"712/XS,S,M,L,XL"
09273235,070/M
05235241,"712/XS,S,M,L,XL"
05029175,"712/XS,S,M"
05227240,"800/XS,S,M,L,XL"
05039407,"085/S,L"
09075301,"172/XS,S,L"
02298182,"330/M,L"
04387240,"250/M,L,XL"
06962222,407/S
04786259,250/M
02298157,046/L
04786257,251/S
09258572,"251/XS,S,M,L"
08502580,"250/S,L,XL|800/XS,S,M"
08862319,712/XS
08741273,712/XL
09699255,"250/S,M,L"
00881111,"712/S,L"
04387036,"250/XS,S,M,L,XL"
04786277,"250/XS,M,L,XL|800/XS,S,M"
02298173,"712/XS,S"
08372495,712/M
08873534,250/XS
08372320,"250/S,M,L"
08372225,"251/XS,S"
08372060,"250/XS,S,M,L,XL"
04764140,"250/S,M,XL"
00028572,"251/XS,S,M,L"
05770028,"712/XS,M"
07484162,"712/XS,S"
08857334,"712/S,M,XL"
04877100,251/XS
08733002,250/XL
08738501,"062/XS,S,M,L,XL"
00881110,"250/XS,S,M,L"
08411475,"250/XS,S,M"
06962228,"712/XS,S,L"
08741243,"250/XS,S,M,L,XL"
02298151,712/XS
08372307,043/S
04387266,"407/XS,S,M,XL"
04387096,"390/XS,S,M,L,XL"
09878134,"069/M,L"
08926551,"098/S,XL|044/S,M,XL"
08741036,"307/S,M"
02157237,"406/XS,S,M,XL"
04786283,"800/XS,S,M,L"
09328283,"044/XS,L"
05029171,"330/S,M,L"
05029161,"330/M,L"
09887284,330/M
02587159,"330/S,M"
09766321,"075/S,M"
03666174,093/XL
09400254,330/XS
09191095,700/M
09113199,"330/XS,S,M,L,XL"
09030213,"330/XS,S,M,L,XL"
08925171,075/S
00881109,030/XS
02138748,"800/XS,S,M,L"
08987213,"681/XS,S,M,L,XL"
07969237,804/M
08613373,"644/M,XL"
08924399,829/M
03666162,"800/M,L"
02298168,"804/XS,M,L"
09929132,"800/XS,S,M,L,XL"
03641845,"700/S,M,L|800/S,M,L|712/S,M,L"
01608225,"800/XS,S,M,L,XL"
08899616,"800/S,M,XL"
02286642,"800/S|505/XS,S,M,L,XL|712/S"
03152521,"800/S,M,XL"
05039377,"720/S,M,L|807/S,M,L|681/S|524/S,M,L"
02008572,"501/XS,M"
01478137,"251/S,M,L,XL"
06050841,914/M
03455892,"756/XS,S,M,L"
09929224,251/XL
01165232,"800/XS,S,M,L,XL"
04387226,"800/S,M,L"
01255410,"712/XS,S,M,L,XL"
02753236,"800/XS,M"
08372375,"800/XS,S,M"
01478162,"052/XS,S,M,L"
04387228,400/L
04745222,"800/S,M"
03641860,"712/L|802/S,M"
09929049,307/M
03581041,"800/EU 34 (UK 6),EU 36 (UK 8),EU 38 (UK 10),EU 40 (UK 12),EU 42 (UK 14),EU 44 (UK 16)"
01478231,"809/M,L"
09929334,"922/XS,S,M,L"
04387262,800/L
09359846,"802/XS,S,M,XL"
01608431,"707/XS,S,M,L,XL|807/XS,S,M,L,XL"
08372417,"800/XS,M,XL"
01608226,505/M
08646186,800/S
09381597,"800/XS,M,L"
09633199,681/L
07149266,600/XS|800/XL
02753023,"704/S,M,L"
04387220,"712/XS,S,M,L,XL"
08372245,"712/S,M,L|922/XS,S,M,L,XL"
03811252,800/S
01478425,"800/S,L,XL|405/S,M,L,XL|809/S,M,L,XL"
04174843,"800/S,M|600/S,M|251/L|700/S"
06050800,"800/S,M,L|250/S,M,L|401/S,M,L"
02335646,"822/XS,S,M,L,XL|711/M,L,XL|406/S,M,L,XL|676/XS,S,M"
04174031,"800/XS,M"
04174831,"803/S,L"
04174961,"712/S,M,L|822/S,M,L,XL|407/S,M,L,XL"
00264858,"251/S,M,L"
05584812,"621/S,M,L,XL|712/S,M"
07484422,"800/XS,S,M,L"
01131856,"681/S,M,L"
07149290,"681/XS,S,M,L,XL|800/S,M,L,XL|826/S,L"
00264677,"800/M,L|802/S,M,L,XL"
05520214,"251/EU 34 (UK 6),EU 36 (UK 8),EU 38 (UK 10),EU 40 (UK 12),EU 42 (UK 14),EU 44 (UK 16)"
05039667,"087/M|800/S,M|084/M"
03644157,"823/M,L|723/M,L"
04043286,"800/S,L"
00264163,"800/S,M|710/S,M,L|051/S,M"
05039639,500/L|450/S
07563280,"700/XS,M|800/XS,S,M,L"
07997272,712/XL
04786290,"401/XS,S,L,XL|800/XS,S,M,L,XL"
02335654,822/M
03644628,"723/S,M,L|712/S,M,L|823/L"
03641878,"712/S,L|922/S,M"
04391450,800/M
01255552,800/S
04387279,"800/XS,S,M,L,XL"
04043047,"712/XS,S,M,L,XL"
06050837,"051/S,M"
07484033,811/L
01165515,"445/S,M,L"
01608234,"485/XS,M,L,XL"
04877101,"251/XS,S,M,L,XL"
00779159,"505/S,M,L,XL"
02753224,"711/XS,M,XL"
07149270,490/S
09332570,711/S
02257330,"712/EU 36 (UK 8),EU 38 (UK 10)|756/EU 34 (UK 6),EU 36 (UK 8),EU 38 (UK 10),EU 42 (UK 14)"
09929138,"800/XS,S,M,L|505/XS,S,M,L"
01478262,"104/XS,S,L,XL"
07149243,"800/S,M,L"
01255510,"700/S,M,L,XL"
04387026,"800/XS,S,M,L,XL"
01478644,"800/XS,S,M,L,XL"
03152517,800/XS
05039278,"712/M|800/S,L"
09479272,"505/XS,S,M,L,XL|800/XS,S,M,L,XL"
07563290,"700/XS,S,M,L,XL|800/XS,S,M,L"
08741357,"811/XS,S,M,L|809/XS,S,M,L|401/XS,S,M,L"
03641857,"641/L|250/S,M|800/S,M|401/S,M,L"
04174841,"250/S|626/S,M"
02335169,"250/S,L|800/M|711/M"
04174678,"800/XS,S,M|681/XS,S,M,L|717/XS,S|250/XS,S,M,L"
03253322,"250/S|800/S,M|505/S|944/S,M|104/S,M|620/S|803/M,L"
03253325,"104/S|505/S,M|250/S,M,L|800/S,M,L"
04424809,"250/S,M,L|703/S,M,L|427/L|800/S,M,L|606/S,M,L|104/S|712/S,M,L"
