sku_base,cols_sz,gender
05070660,"Grey marl#812#S,M|Beige marl#720#S,M,L,XL|Light sand#752#S,M,L,XL",Woman
08073259,"camel#704#XS,S,M",Woman
03046328,"Black#800#XS,L,XL|Beige#450#S,M,L,XL|Ecru#712#XS,S,M,L",Woman
08073270,Leopard#051#M,Woman
03046060,"Black#800#XS,S,M",Woman
02753334,Black#800#L,Woman
03046274,"Grey#802#XS,S,M,L|Ecru#712#XS,S,M,L",Woman
07484522,"Black#800#XS,S,M,XL",Woman
03046028,"Beige#710#XS,S,M",Woman
09575985,Black#800#M,Woman
04174866,"Dark grey#922#S,M,L|Black#800#S,M,L|Ice#805#S,M,L",Woman
08073227,"Black#800#XS,S,M",Woman
04341763,"Grey green#916#XS,S,M,L",Woman
02193105,"Multicoloured#330#XS,S,M,L,XL",Woman
09646606,"Black#800#S,M",Woman
05584656,Black#800#L,Woman
00264737,"Black#800#S,XL|Burgundy#681#S,M",Woman
05584694,Black#800#S,Woman
08741261,"Black#800#S,M",Woman
09857071,"Green / Grass#550#XS,S,M,L",Woman
00387157,"Black#800#XS,S,M",Woman
09216240,Ecru / Black#070#XL,Woman
05039408,"Black / Sand#085#S,M",Woman
03300542,Oyster-white#251#M,Woman
08949179,"Multicoloured#330#XS,S,L",Woman
09977185,"Black#800#XS,S,M",Woman
09799617,"Dark red#641#XS,S,M,L,XL",Woman
05039807,"Brown#700#S,L",Woman
08815399,Aubergine#610#M,Woman
08611459,"Light burgundy#685#XS|Ecru#712#XS,XL|Black#800#XS,S",Woman
02016782,"Black#800#XS,S",Woman
02045100,Burgundy#681#M,Woman
05029158,"Raspberry#671#XS,S,M,L",Woman
09196070,"Brown#700#XS,S,L",Woman
09146092,Red#600#L,Woman
09483262,"Black#800#XS,S",Woman
08741076,"Black#800#XS,S,M,XL",Woman
05584675,"Black#800#S,M",Woman
09649617,"Black#800#S,M,L",Woman
03067390,"Dark brown#716#XS,S,M,L",Woman
05029163,Ecru#712#S,Woman
04770669,"Black#800#S,M|Chocolate#717#S,M",Woman
00858464,"Black#800#S,M,L|Brown#700#S,M,L|Burgundy#606#S,M",Woman
05584671,"Ecru#712#M|Black#800#S,M|Lime#520#S,L",Woman
09935279,"Multicoloured#330#XS,S",Woman
09745628,Silver#808#S,Woman
02180258,"Tobacco#705#XS,S,M",Woman
08452662,Silver#808#S,Woman
08227214,Ecru#712#S,Woman
03666175,Multicoloured#330#L,Woman
05039626,"Mid-green#527#S|Brown#700#L|Black#800#S,M,L",Woman
03152304,"Maroon#791#XS,S,M,L,XL",Woman
02183246,"Black#800#S,M,L,XL",Woman
05644995,"Dark brown#716#S|Black#800#S,M",Woman
04764282,"Black#800#XS,M",Woman
03067290,"Black#800#XS,S,M,L,XL",Woman
02017572,"Bottle green#501#XS,S,L",Woman
09228617,"Pale pink#622#XS,S,M",Woman
09953617,"Black#800#XS,S",Woman
09280071,Midnight blue#490#S,Woman
02298654,Ecru#712#M,Woman
03152243,"Dark brown#716#XS,S",Woman
05039802,Green#500#M,Woman
06962231,"Anthracite grey#807#S,L,XL",Woman
04174670,"Charcoal#822#XS,M,L|Chalk pink#626#S",Woman
09315118,"Bluish#920#XS,M,L,XL",Woman
02678246,"Grey marl#803#XS,S,M,L,XL",Woman
02731297,"Black#800#XS,S,M,L",Woman
00264736,"Russet#670#S,M,L",Woman
03471108,GREEN#914#M,Woman
08741267,"Red#600#XS,S,M",Woman
05536165,Stripes#105#S,Woman
09305252,Ecru / Green#069#XS,Woman
09189133,"Black / White#084#XS,S,M,L,XL",Woman
09121262,"Black#800#XS,S,M,L,XL",Woman
08922366,"Cobalt#829#XS,S,M,XL",Woman
03067251,"Dark orange#642#XS,S,M,L",Woman
03067253,"Dark tan#709#XS,S,M,L,XL",Woman
03046323,"Aubergine#610#XS,S,M,XL",Woman
05063848,"Chocolate#717#S,M,L",Woman
05029159,"Multicoloured#330#XS,M",Woman
00779064,"Blue#400#XS,S",Woman
03152222,"Black#800#XS,S,M,L",Woman
04938112,Brown#700#S,Woman
09662617,"Black#800#S,M|Blue green#903#L",Woman
09927617,Dark khaki#507#S,Woman
09645609,"Black#800#XS,S,M,L,XL",Woman
09371617,"Mid-green#527#S,M",Woman
01165513,"Blue / Green#445#S,M",Woman
01058458,Blue grey#819#S,Woman
02157225,"Light beige#721#XS,S,M",Woman
04813841,"Black#800#S,M,L",Woman
05039388,"Brown#700#S,M|Black#800#M",Woman
01058467,"mink brown#472#S,M|Grey marl#803#S,M,L|Black#800#S",Woman
05039813,"Leopard#051#S,M,L",Woman
00264670,"Duck blue#442#S,M|Black#800#S",Woman
00085633,Russet#670#S,Woman
00858800,"Olive green#515#S,M",Woman
09333331,"Dark pink#664#XS,S,M",Woman
03152320,"White#250#XS,S,M",Woman
05039397,"Light brown#730#S,M",Woman
02034610,"Grey#802#XS,S,M",Woman
03152233,"Charcoal grey#818#XS,S,L",Woman
07969223,"Blue#407#XS,S,M,L,XL",Woman
02731298,"Black#800#XS,S,M,L,XL",Woman
03152249,"Black#800#XS,S,M,L",Woman
02157254,"Black#800#XS,S,M,L,XL",Woman
09965281,"Green / Blue#518#XS,S,M,XL",Woman
09920948,"Black#800#XS,S,M,L,XL",Woman
05252281,Navy blue#401#XS,Woman
05644940,"Green#500#S,M,L",Woman
03067210,"Black#800#XS,S,M,L",Woman
09482262,"Black#800#XS,S,M,L",Woman
09139222,Multicoloured#330#M,Woman
03067237,"Black#800#XS,S",Woman
08841460,"Black#800#XS,S|Red#600#XS,S",Woman
08625548,"Black#800#S,M",Woman
02142176,Navy blue#401#XS,Woman
09580072,"Black#800#XS,S,M,XL",Woman
09145276,"Multicoloured#330#XS,S,M,L",Woman
05063840,"Dark grey#922#S,M,L",Woman
09783594,"Black#800#S,M,L",Woman
09667592,"Black / Silver#033#XS,S,M,L",Woman
03067380,"Dark burgundy#684#XS,S,M,L",Woman
09668581,"pink gold#870#XS,S,M,XL",Woman
05063823,"Black#800#S,M,L",Woman
09665838,Black#800#XS,Woman
00881353,Black#800#XS,Woman
04043185,"Black#800#S,M",Woman
09565976,"Black#800#XS,S,M,L",Woman
02298183,"Multicoloured#330#XS,S,M",Woman
09763072,"Black#800#L,XL",Woman
09878160,"Red#600#XS,S,M",Woman
09588620,"Black#800#XS,S,L",Woman
09310255,Multicoloured#330#M,Woman
08686635,"Black#800#S,M,L|Black / White#084#S,M|Brown / Ecru#087#S",Woman
05070633,White#250#XS,Woman
00264534,"Black#800#S,M,L",Woman
05039279,Zebra#037#S,Woman
04772381,"Moss green#502#XS,S,M|Black#800#S",Woman
04333243,"Burgundy#681#S,M,L",Woman
02142269,"Navy blue#401#XS,M,L,XL",Woman
08795653,"Ecru#712#XS,S,M",Woman
08653754,Pink#620#S,Woman
00106620,"Black#800#XS,M,L",Woman
09598230,"Navy blue#401#S,M",Woman
09251949,"Black#800#XS,S",Woman
09281463,"Brown#700#S,M,L",Woman
03897166,Multicoloured#330#L,Woman
03897165,"Black#800#XS,S,M",Woman
08372323,"Khaki#505#XS,M",Woman
08818528,"Ecru#712#S,M,L",Woman
00881372,Oyster-white#251#XS,Woman
03067220,"Black#800#XS,S,M,L,XL",Woman
05584697,"Black#800#S|Burgundy#681#S,M|Ecru#712#XS,S,M",Woman
05039393,"Brown#700#M,L|Black#800#S,M,L|Dark anthracite#898#S,M,L",Woman
09128560,"Maroon#605#M,L",Woman
04764245,"Ivory#741#XS,S,L,XL|Black#800#XS,S,M,L",Woman
01058940,"Black#800#M,L,XL|Light sand#752#S,M",Woman
00264530,"Burgundy#681#S|Brown#700#S,M|Black#800#S,M,L",Woman
03736263,"Grey#802#XS,S,M,XL",Woman
05070628,"Black#800#M,L",Woman
09882604,"Beige-pink#942#XS,S,M,L",Woman
02731308,"Black#800#XS,S,M,L,XL",Woman
08246249,"Blue#407#XS,M",Woman
09532552,Black#800#XS,Woman
03067230,"Black#800#XS,S,M,L",Woman
04764287,"Black#800#S,M,L,XL",Woman
03859126,"Black#800#XS,S,L",Woman
02142201,White#250#L,Woman
01889157,"Mid-blue#427#XS,S,M,L,XL",Woman
09860188,"Black#800#XS,S,M,L,XL",Woman
00089617,"Black#800#XS,S,M,L,XL",Woman
02180226,Dark brown#716#M,Woman
09388072,Mid-camel#756#M,Woman
04764271,"Brown#700#XS,S,M,L",Woman
00264533,"Black#800#S,M,L",Woman
04772268,Petrol blue#409#L,Woman
08351238,"Black / Ecru#093#S,M,XL",Woman
04764264,"Pink#926#XS,S,M",Woman
04387243,Black#800#XS,Woman
04387249,Black#800#XS,Woman
03653006,"Grey marl#812#XS,S,M",Woman
05063822,"Silver#808#S,M,L",Woman
01165931,"Golden#303#S,M,L|Black#800#S,M,L",Woman
05063859,"Black#800#S,M,L",Woman
05644934,"Dark anthracite#898#S,M,L|brown vigore#719#M|Beige marl#720#S,M",Woman
02142140,Navy blue#401#S,Woman
04772244,"Black#800#XS,S,M,L,XL",Woman
05536207,"Dark anthracite#898#XS,S,M",Woman
08372263,"Black#800#XS,S,L",Woman
00050134,"Blue#400#XS,S,M",Woman
09895631,"Black#800#XS,S,M,L,XL",Woman
06050402,"Dark anthracite#898#S,M,L",Woman
00264870,Grey / Beige#814#S,Woman
05039396,Dark burgundy#684#S,Woman
01165538,"Black#800#XS,S,M",Woman
09363307,"Navy blue#401#XS,S,M,L,XL",Woman
04043273,White#250#XS,Woman
09119556,Green#500#L,Woman
09145227,Multicoloured#330#M,Woman
09063587,"Pearl grey#804#XS,S,M,L,XL",Woman
09057777,"Black#800#L,XL",Woman
03641861,"Black#800#S,M|Beige#710#S,M,L",Woman
02142210,"Pink#620#XS,S,M,L,XL",Woman
06929282,Dark indigo#443#L,Woman
03641837,"Light green#912#S,M,L|Black#800#S,M,L|Pastel pink#621#S,M,L",Woman
05029701,"Black / White#084#XS,S",Woman
02731261,"Grey marl#812#XS,S,M",Woman
06929281,"Dark indigo#443#XS,S",Woman
00387059,mid khaki#533#XL,Woman
04437254,"Khaki#505#XS|Black#800#XS,S,M,L,XL",Woman
08045571,Black#800#M,Woman
01067622,"White#250#XS,S,M,L",Woman
07969233,Black#800#XL,Woman
04770451,Brown / Taupe#737#S,Woman
08462896,"Olive green#515#XS,S,M,L",Woman
05029165,"Olive green#515#XS,S,M,L",Woman
03897160,"Black#800#XS,S,M,L",Woman
03992484,Charcoal grey#818#M,Woman
07969229,"Black#800#XS,L,XL",Woman
07969228,Black#800#L,Woman
08287896,"Ecru#712#XS,S,M,L,XL",Woman
08372090,"Black#800#M,L",Woman
08404164,"Green / Grass#550#XS,L",Woman
08313266,Black#800#XS,Woman
08211759,"Oyster-white#251#XS,S",Woman
04333242,"Dark khaki#507#XS,S,M,L",Woman
09304459,"Black#800#XS,S,M,L,XL",Woman
02731301,Black#800#XS,Woman
00051569,"Black / White#084#S,L",Woman
09956936,"Black#800#XS,S,M",Woman
05584670,"Black#800#S,M",Woman
09362321,"Black#800#XS,M,L,XL",Woman
09172620,"Black#800#S,M,L",Woman
05584686,Black#800#S,Woman
00264646,Black#800#S,Woman
04938113,"Black / White#084#S,M,L",Woman
02678243,"Black#800#XS,S,M,L,XL",Woman
01044626,"Black#800#XS,S,XL",Woman
01165481,Black#800#M,Woman
04437256,Black#800#XS,Woman
08634599,"Black#800#L,XL",Woman
09486613,"Black#800#XS,S",Woman
09486627,"Black / Silver#033#XS,S,M,L,XL",Woman
03046988,"Black#800#XL|Light khaki#506#XS,S,L",Woman
09378597,"Black#800#XS,S,L,XL",Woman
08967558,Black / Silver#033#XL,Woman
01689299,"charcoal grey#823#XS,S,M,L,XL",Woman
09134131,"Black / White#084#S,M",Woman
08616595,"Black#800#XS,XL",Woman
02753234,"Black#800#XS,S,M",Woman
03046356,"Black#800#S,L",Woman
01255753,"Black#800#XS,S,M,L,XL",Woman
09161114,"Black / White#064#XS,S,M",Woman
07522257,Grey#802#XS,Woman
08073245,Ecru#712#S,Woman
01255853,"Navy blue#401#XS,S,M,L,XL",Woman
04749867,"Black#800#XS,S",Woman
09234726,Ecru#712#L,Woman
08902436,Black#800#XS,Woman
01478326,"Navy blue#401#XS,S,M,XL",Woman
02010703,Light petrol blue#435#S,Woman
04749803,"Black#800#S,M,L",Woman
05427780,"Chocolate brown#753#S,L",Woman
02010775,"Grey#802#XS,S,M,L,XL",Woman
00264868,"Dark navy#422#S,M,L|Black#800#S,M,L",Woman
05039337,"Leopard#051#S,M",Woman
09657617,"Black#800#XS,L",Woman
05039322,Brown / Taupe#737#M,Woman
03905108,Black#800#M,Woman
03905637,"Brick#701#S,M,L|White#250#S,M,L",Woman
04813840,"Black#800#S,M",Woman
05584680,Pale pink#622#S,Woman
03519110,"Black#800#S,M,L",Woman
02142112,Navy blue#401#S,Woman
04192015,"Navy blue#401#S,M,XL|Burgundy#606#S,M,L|Brown#700#S,M,L",Woman
03653104,"Red#600#XS,S,M,L",Woman
02142177,"Blue / Grey#485#S,M,XL",Woman
03471024,"Red#600#M,XL",Woman
03920174,"Khaki#505#S,M",Woman
02893145,"Blue#400#S,M,L,XL",Woman
03920198,"Black#800#S,M,L",Woman
03920190,"Green#500#XS,S,L",Woman
09598150,"Aubergine#610#S,M,L|Mid-grey#809#S,M,L",Woman
00264875,"Grey#802#S,M,L,XL",Woman
03433006,striped#104#S,Woman
05536173,Navy blue#401#S,Woman
03920158,"Burgundy#606#S,M,L",Woman
08851109,"Brown#700#L,XL",Woman
06427100,"Mid-ecru#715#S,M,L",Woman
03991123,"Grey#802#XS,S",Woman
03653013,"Black#800#XS,S,M,L|Brown#700#XS,S,M,L|Blue#400#XS,S,M,L",Woman
03920162,Brown#700#M,Woman
02893132,"Grey green#916#S,M",Woman
08851007,"White#250#L,XL|Orange#615#S,M,L,XL",Woman
08851008,"Navy blue#401#L,XL",Woman
03519007,"Chalk pink#626#S,M,L",Woman
03991040,"Ecru#712#S,M,L",Woman
05536115,"Burgundy#681#L|Dark navy#422#S,M,L|Grey#802#S,M,L",Woman
04331102,"Light green#526#M|Navy blue#401#M,L",Woman
03920122,Red#600#S,Woman
04938100,"Lemon yellow#320#XS,S",Woman
05584664,"Black#800#S,M,L",Woman
06427116,Golden#303#S,Woman
05536101,"Sand / Marl#081#S,M,L",Woman
03644328,"Dark burgundy#684#S,M,L|Pistachio#511#L",Woman
00085870,"Black#800#M,L",Woman
09676399,"Beige-pink#942#L,XL",Woman
05039666,"Brown / Ecru#087#S,M",Woman
02175105,"Multicoloured#330#XS,S,M,L,XL",Woman
03897163,"Magenta#123#XS,S,M,L,XL",Woman
08876019,"Red#600#XS,S,M,L|Black#800#XS,S,M",Woman
08544207,"Ecru#712#S,M",Woman
05039398,"blue/black#030#S,M",Woman
01821021,"Black#800#S,L",Woman
06895259,"Black#800#XS,S,M",Woman
09374572,"Black#800#XS,XL",Woman
09520209,"Black#800#M,XL",Woman
08351227,"Ecru#712#XS,S,M,L,XL",Woman
03897068,"Ecru#712#XS,S,M,L,XL",Woman
09273235,Ecru / Black#070#M,Woman
05235241,"Ecru#712#XS,S,M,L,XL",Woman
05029175,"Ecru#712#XS,S,M",Woman
05227240,"Black#800#XS,S,M,L,XL",Woman
05039407,"Black / Sand#085#S,L",Woman
09075301,"MARSALA#172#XS,S,L",Woman
02298182,"Multicoloured#330#M,L",Woman
04387240,"White#250#M,L,XL",Woman
06962222,Blue#407#S,Woman
04786259,White#250#M,Woman
02298157,Pink / White#046#L,Woman
04786257,Oyster-white#251#S,Woman
09258572,"Oyster-white#251#XS,S,M,L",Woman
08502580,"White#250#S,L,XL|Black#800#XS,S,M",Woman
08862319,Ecru#712#XS,Woman
08741273,Ecru#712#XL,Woman
09699255,"White#250#S,M,L",Woman
00881111,"Ecru#712#S,L",Woman
04387036,"White#250#XS,S,M,L,XL",Woman
04786277,"White#250#XS,M,L,XL|Black#800#XS,S,M",Woman
02298173,"Ecru#712#XS,S",Woman
08372495,Ecru#712#M,Woman
08873534,White#250#XS,Woman
08372320,"White#250#S,M,L",Woman
08372225,"Oyster-white#251#XS,S",Woman
08372060,"White#250#XS,S,M,L,XL",Woman
04764140,"White#250#S,M,XL",Woman
00028572,"Oyster-white#251#XS,S,M,L",Woman
05770028,"Ecru#712#XS,M",Woman
07484162,"Ecru#712#XS,S",Woman
08857334,"Ecru#712#S,M,XL",Woman
04877100,Oyster-white#251#XS,Woman
08733002,White#250#XL,Woman
08738501,"White / Maroon#062#XS,S,M,L,XL",Woman
00881110,"White#250#XS,S,M,L",Woman
08411475,"White#250#XS,S,M",Woman
06962228,"Ecru#712#XS,S,L",Woman
08741243,"White#250#XS,S,M,L,XL",Woman
02298151,Ecru#712#XS,Woman
08372307,Navy / White#043#S,Woman
04387266,"Blue#407#XS,S,M,XL",Woman
04387096,"Midnight blue#390#XS,S,M,L,XL",Woman
