Handle,Title,Body (HTML),Vendor,Product Category,Type,Command,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
08073259,,,Zara,,coat & puffers,MERGE,,TRUE,Color,camel,Size,XL,,,,,shopify,1000,deny,manual,4950.00,4950.00,TRUE,,,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/8403/47ad/150d45979d33/bdc21cfe16d5/08073259704-015-p/08073259704-015-p.jpg?ts=1729848476087&w=2048,,,,,,active
08073259,,,Zara,,coat & puffers,MERGE,,TRUE,Color,camel,Size,XXL,,,,,shopify,1000,deny,manual,4950.00,4950.00,TRUE,,,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/8403/47ad/150d45979d33/bdc21cfe16d5/08073259704-015-p/08073259704-015-p.jpg?ts=1729848476087&w=2048,,,,,,active
08073259,,,Zara,,coat & puffers,MERGE,,TRUE,Color,camel,Size,L,,,,,shopify,1000,deny,manual,4950.00,4950.00,TRUE,,,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/8403/47ad/150d45979d33/bdc21cfe16d5/08073259704-015-p/08073259704-015-p.jpg?ts=1729848476087&w=2048,,,,,,active
08073227,,,Zara,,jackets,MERGE,,TRUE,Color,Black,Size,L,,,,,shopify,1000,deny,manual,4350.00,4350.00,TRUE,,,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/27e9/40e1/110d48e0967f/fcd8e2eee7c2/08073227800-015-p/08073227800-015-p.jpg?ts=1731009440507&w=2048,,,,,,active
00264737,,,Zara,,dresses,MERGE,,TRUE,Color,Black,Size,M,,,,,shopify,1000,deny,manual,2950.00,2950.00,TRUE,,,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/160c/4fd9/49da42499fcb/dfc840b52aad/00264737800-p/00264737800-p.jpg?ts=1728586304982&w=2048,,,,,,active
05584694,,,Zara,,dresses,MERGE,,TRUE,Color,Black,Size,M,,,,,shopify,1000,deny,manual,3350.00,3350.00,TRUE,,,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/49e5/1117/ea79469692dd/b88083bef2a9/05584694800-p/05584694800-p.jpg?ts=1731071570980&w=2048,,,,,,active
09857071,,,Zara,,dresses,MERGE,,TRUE,Color,Green / Grass,Size,XL,,,,,shopify,1000,deny,manual,4950.00,4950.00,TRUE,,,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/57af/0050/3a29448eb206/aca48d0ca3db/09857071550-p/09857071550-p.jpg?ts=1733419249749&w=2048,,,,,,active
08815399,,,Zara,,dresses,MERGE,,TRUE,Color,Aubergine,Size,S,,,,,shopify,1000,deny,manual,5550.00,5550.00,TRUE,,,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/1e69/54db/c88142f9b3b1/74c16f0bd5ac/08815399610-p/08815399610-p.jpg?ts=1723812881180&w=2048,,,,,,active
08611459,,,Zara,,dresses,MERGE,,TRUE,Color,Light burgundy,Size,XL,,,,,shopify,1000,deny,manual,3550.00,3550.00,TRUE,,,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/d168/ab34/73444d92ba3d/1df38e9b4ab2/08611459685-p/08611459685-p.jpg?ts=1723804957928&w=2048,,,,,,active
08611459,,,Zara,,dresses,MERGE,,TRUE,Color,Light burgundy,Size,S,,,,,shopify,1000,deny,manual,3550.00,3550.00,TRUE,,,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/d168/ab34/73444d92ba3d/1df38e9b4ab2/08611459685-p/08611459685-p.jpg?ts=1723804957928&w=2048,,,,,,active
