ID,Handle,Variant ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Inventory Adjust,Variant Inventory Adjust
7654917111887,14106,42340602085455,Color,Green,Size,S,1000,1000
7654917111887,14106,42340602118223,Color,Green,Size,L,1000,1000
7654917111887,14106,42340602150991,Color,Grey,Size,S,1000,1000
7654917177423,14112,42340602282063,Color,Ecru,Size,S,1000,1000
7654917177423,14112,42340602314831,Color,Ecru,Size,M,1000,1000
7654917210191,28572,42340602347599,Color,Oyster-white,Size,XS,1000,1000
7654917210191,28572,42340602380367,Color,Oyster-white,Size,S,1000,1000
7654917210191,28572,42340602413135,Color,Oyster-white,Size,M,1000,1000
7654917210191,28572,42340602445903,Color,Oyster-white,Size,L,1000,1000
7654917144655,50134,42340602183759,Color,Blue,Size,XS,1000,1000
7654917144655,50134,42340602216527,Color,Blue,Size,S,1000,1000
7654917144655,50134,42340602249295,Color,Blue,Size,M,1000,1000
7654897844303,77303,42340508631119,Color,Oyster-white,Size,M,1000,1000
7654897844303,77303,42340508663887,Color,Oyster-white,Size,L,1000,1000
7654897844303,77303,42340508696655,Color,Oyster-white,Size,XL,1000,1000
7654917308495,85474,42340602609743,Color,White,Size,S,1000,1000
7654917308495,85474,42340602642511,Color,White,Size,M,1000,1000
7654917308495,85474,42340602675279,Color,White,Size,L,1000,1000
7654917308495,85474,42340602708047,Color,White,Size,XL,0,0
7654917275727,85633,42340602576975,Color,Russet,Size,S,1000,1000
7654917341263,85816,42340602740815,Color,Pink,Size,S,1000,1000
7654917341263,85816,42340602773583,Color,Pink,Size,M,1000,1000
7654917374031,85822,42340602806351,Color,Vanilla,Size,M,1000,1000
7654917374031,85822,42340602839119,Color,Vanilla,Size,L,1000,1000
7654917406799,85843,42340602871887,Color,Pearl grey,Size,S,1000,1000
7654917406799,85843,42340602904655,Color,Pearl grey,Size,M,1000,1000
7654917439567,85857,42340602937423,Color,Burgundy,Size,S,1000,1000
7654917439567,85857,42340602970191,Color,Burgundy,Size,M,1000,1000
7654917439567,85857,42340603002959,Color,Burgundy,Size,L,1000,1000
7654917439567,85857,42340603035727,Color,Blue,Size,S,1000,1000
7654917439567,85857,42340603068495,Color,Blue,Size,M,1000,1000
7654917439567,85857,42340603101263,Color,Blue,Size,L,1000,1000
7654917472335,85869,42340603134031,Color,Pink,Size,S,1000,1000
7654917472335,85869,42340603166799,Color,Pink,Size,M,1000,1000
7654917472335,85869,42340603199567,Color,Pink,Size,L,1000,1000
7654917505103,85870,42340603265103,Color,Black,Size,M,1000,1000
7654917505103,85870,42340603297871,Color,Black,Size,L,1000,1000
7654917537871,85879,42340603330639,Color,White,Size,S,1000,1000
7654917537871,85879,42340603363407,Color,White,Size,M,1000,1000
7654917537871,85879,42340603396175,Color,White,Size,L,1000,1000
7654917570639,85880,42340603428943,Color,Printed,Size,S,1000,1000
7654917570639,85880,42340603461711,Color,Printed,Size,M,1000,1000
7654917570639,85880,42340603494479,Color,Printed,Size,L,1000,1000
7654917603407,89617,42340603560015,Color,Black,Size,XS,1000,1000
7654917603407,89617,42340603592783,Color,Black,Size,S,1000,1000
7654917603407,89617,42340603625551,Color,Black,Size,M,1000,1000
7654917603407,89617,42340603658319,Color,Black,Size,L,1000,1000
7654917603407,89617,42340603691087,Color,Black,Size,XL,1000,1000
7654917668943,106620,42340603789391,Color,Black,Size,XS,1000,1000
7654917668943,106620,42340603822159,Color,Black,Size,M,1000,1000
7654917668943,106620,42340603854927,Color,Black,Size,L,1000,1000
7654897778767,108302,42340507484239,Color,Black,Size,S,1000,1000
7654897778767,108302,42340507517007,Color,Black,Size,M,1000,1000
7654897778767,108302,42340507549775,Color,Black,Size,L,1000,1000
7654897778767,108302,42340507582543,Color,Black,Size,XL,0,0
7654897778767,108302,42340507615311,Color,Beige,Size,S,1000,1000
7654897778767,108302,42340507648079,Color,Beige,Size,M,1000,1000
