ID,Handle,Variant ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Inventory Adjust,Variant Inventory Adjust
7654936281167,8073259,42340675354703,Color,camel,Size,S,0,0
7654924058703,3046328,42340627447887,Color,Black,Size,L,0,0
7654924058703,3046328,42340627611727,Color,Beige,Size,XL,0,0
7654924058703,3046328,42340627546191,Color,Beige,Size,M,0,0
7654924058703,3046328,42340627513423,Color,Beige,Size,S,0,0
7654923960399,3046060,42340626989135,Color,Black,Size,M,0,0
7654923960399,3046060,42340626923599,Color,Black,Size,XS,0,0
7654923993167,3046274,42340627087439,Color,Grey,Size,M,0,0
7654923993167,3046274,42340627251279,Color,Ecru,Size,L,0,0
7654923993167,3046274,42340627185743,Color,Ecru,Size,S,0,0
7654935756879,7484522,42340673650767,Color,Black,Size,M,0,0
7654940966991,9575985,42340690133071,Color,Black,Size,M,0,0
7654936215631,8073227,42340675256399,Color,Black,Size,M,0,0
7654941524047,9646606,42340691804239,Color,Black,Size,M,0,0
7654932086863,5039807,42340661297231,Color,Brown,Size,L,0,0
7654921666639,2045100,42340617977935,Color,Burgundy,Size,M,0,0
7654933856335,5584675,42340667293775,Color,Black,Size,M,0,0
7654930284623,4770669,42340656152655,Color,Chocolate,Size,S,0,0
7654933823567,5584671,42340667228239,Color,Lime,Size,L,0,0
7654941917263,9745628,42340692820047,Color,Silver,Size,S,0,0
7654921633871,2017572,42340617912399,Color,Bottle green,Size,S,0,0
7654939787343,9228617,42340686725199,Color,Pale pink,Size,XS,0,0
7654932054095,5039802,42340661231695,Color,Green,Size,M,0,0
7654932349007,5063848,42340662050895,Color,Chocolate,Size,L,0,0
7654941655119,9662617,42340692164687,Color,Black,Size,M,0,0
7654941655119,9662617,42340692197455,Color,Blue green,Size,L,0,0
7654919405647,1058467,42340609687631,Color,Grey marl,Size,L,0,0
7654940246095,9333331,42340687839311,Color,Dark pink,Size,S,0,0
7654922354767,2157254,42340620533839,Color,Black,Size,XL,0,0
7654922354767,2157254,42340620435535,Color,Black,Size,S,0,0
7654922354767,2157254,42340620402767,Color,Black,Size,XS,0,0
7654942343247,9920948,42340694327375,Color,Black,Size,XL,0,0
7654942343247,9920948,42340694294607,Color,Black,Size,L,0,0
7654940999759,9580072,42340690198607,Color,Black,Size,S,0,0
7654924484687,3067380,42340629119055,Color,Dark burgundy,Size,XS,0,0
7654932185167,5063823,42340661592143,Color,Black,Size,M,0,0
7654927433807,4043185,42340640489551,Color,Black,Size,S,0,0
7654941884495,9763072,42340692754511,Color,Black,Size,L,0,0
7654928810063,4333243,42340647075919,Color,Burgundy,Size,L,0,0
7654937821263,8653754,42340680007759,Color,Pink,Size,S,0,0
7654919307343,881372,42340609294415,Color,Oyster-white,Size,XS,0,0
7654924288079,3067220,42340628496463,Color,Black,Size,XL,0,0
7654919438415,1058940,42340609884239,Color,Light sand,Size,S,0,0
7654922125391,2142201,42340619616335,Color,White,Size,L,0,0
7654929137743,4387243,42340648255567,Color,Black,Size,XS,0,0
7654934315087,5644934,42340669063247,Color,Dark anthracite,Size,L,0,0
7654931595343,5039396,42340660248655,Color,Dark burgundy,Size,S,0,0
7654939164751,9057777,42340684988495,Color,Black,Size,L,0,0
7654919471183,1067622,42340610048079,Color,White,Size,L,0,0
7654919471183,1067622,42340610015311,Color,White,Size,M,0,0
7654942605391,9956936,42340695179343,Color,Black,Size,XS,0,0
7654919274575,1044626,42340609196111,Color,Black,Size,XS,0,0
7654928613455,4192015,42340646289487,Color,Navy blue,Size,S,0,0
7654928613455,4192015,42340646453327,Color,Burgundy,Size,L,0,0
7654926450767,3653104,42340637933647,Color,Red,Size,S,0,0
7654927368271,3991123,42340640424015,Color,Grey,Size,S,0,0
7654922387535,2175105,42340620664911,Color,Multicoloured,Size,L,0,0
