Handle,Title,ID,Variant ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Image,product_link,color_code
9963608,TROUSERS WITH BELT LOOPS ON THE HEM,7657609756751,42351140798543,Color,Grey,Size,XS,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09963608802-p.jpg?v=1734592375,https://www.zara.com/in/en/trousers-with-belt-loops-on-the-hem-p09963608.html?v1=423547391&v2=2420787,802
9963608,,7657609756751,42351140831311,,Grey,,M,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09963608802-p.jpg?v=1734592375,https://www.zara.com/in/en/trousers-with-belt-loops-on-the-hem-p09963608.html?v1=423547391&v2=2420787,802
9911137,TEXTURED WEAVE MINI DRESS,7657609723983,42351140765775,Color,Blue/White,Size,S,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09911137044-p.jpg?v=1734592369,https://www.zara.com/in/en/textured-weave-mini-dress-p09911137.html?v1=409936784&v2=2420826,044
9874106,CREASED-EFFECT KNIT TOP,7657609691215,42351140733007,Color,Stone,Size,M,2550.0,2550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09874106806-p.jpg?v=1734592367,https://www.zara.com/in/en/creased-effect-knit-top-p09874106.html?v1=373311580&v2=2419930,806
9878158,SATIN MIDI DRESS,7657609658447,42351140601935,Color,Bronze,Size,XS,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09878158312-p.jpg?v=1734592369,https://www.zara.com/in/en/satin-midi-dress-p09878158.html?v1=365444592&v2=2420900,312
9878158,,7657609658447,42351140634703,,Bronze,,S,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09878158312-p.jpg?v=1734592369,https://www.zara.com/in/en/satin-midi-dress-p09878158.html?v1=365444592&v2=2420900,312
9878158,,7657609658447,42351140667471,,Bronze,,M,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09878158312-p.jpg?v=1734592369,https://www.zara.com/in/en/satin-midi-dress-p09878158.html?v1=365444592&v2=2420900,312
9878158,,7657609658447,42351140700239,,Bronze,,L,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09878158312-p.jpg?v=1734592369,https://www.zara.com/in/en/satin-midi-dress-p09878158.html?v1=365444592&v2=2420900,312
9860221,FLARED SEQUINNED LEGGINGS,7657609625679,42351140438095,Color,Black,Size,S,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09860221800-p.jpg?v=1734592366,https://www.zara.com/in/en/flared-sequinned-leggings-p09860221.html?v1=395968560&v2=2420797,800
9860221,,7657609625679,42351140470863,,Black,,M,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09860221800-p.jpg?v=1734592366,https://www.zara.com/in/en/flared-sequinned-leggings-p09860221.html?v1=395968560&v2=2420797,800
9860221,,7657609625679,42351140503631,,Dark silver,,XS,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09860221836-a1.jpg?v=1734592365,https://www.zara.com/in/en/flared-sequinned-leggings-p09860221.html?v1=395968561&v2=2420797,836
9860221,,7657609625679,42351140536399,,Dark silver,,S,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09860221836-a1.jpg?v=1734592365,https://www.zara.com/in/en/flared-sequinned-leggings-p09860221.html?v1=395968561&v2=2420797,836
9860221,,7657609625679,42351140569167,,Dark silver,,M,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09860221836-a1.jpg?v=1734592365,https://www.zara.com/in/en/flared-sequinned-leggings-p09860221.html?v1=395968561&v2=2420797,836
9800606,SATIN MINI DRESS WITH CUT-OUT DETAIL,7657609592911,42351140405327,Color,Red,Size,S,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09800606600-p.jpg?v=1734592360,https://www.zara.com/in/en/satin-mini-dress-with-cut-out-detail-p09800606.html?v1=408333697&v2=2420826,600
9702612,VELVET MINI DRESS WITH SEQUINS,7657609560143,42351140372559,Color,Black,Size,M,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09702612800-p.jpg?v=1734592359,https://www.zara.com/in/en/velvet-mini-dress-with-sequins-p09702612.html?v1=407350144&v2=2420826,800
9687135,ZW COLLECTION PRINTED MIDI SKIRT,7657609527375,42351140339791,Color,Brown,Size,L,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09687135700-p.jpg?v=1734592358,https://www.zara.com/in/en/zw-collection-printed-midi-skirt-p09687135.html?v1=405993369&v2=2420430,700
9677748,SATIN SHIRT WITH FEATHERS,7657609494607,42351140307023,Color,Black,Size,XS,3350.0,3350.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09677748800-p.jpg?v=1734592354,https://www.zara.com/in/en/satin-shirt-with-feathers-p09677748.html?v1=409063244&v2=2420364,800
9598005,PLAIN KNIT HOODIE,7657609461839,42351140241487,Color,Khaki,Size,S,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09598005505-p.jpg?v=1734592353,https://www.zara.com/in/en/plain-knit-hoodie-p09598005.html?v1=410590550&v2=2419845,505
9598005,,7657609461839,42351140274255,,Khaki,,M,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09598005505-p.jpg?v=1734592353,https://www.zara.com/in/en/plain-knit-hoodie-p09598005.html?v1=410590550&v2=2419845,505
9534525,SHORT DRESS WITH GODET DETAIL,7657609429071,42351140208719,Color,Black,Size,S,5950.0,5950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09534525800-p.jpg?v=1734592351,https://www.zara.com/in/en/short-dress-with-godet-detail-p09534525.html?v1=412321824&v2=2420826,800
9521604,CARROT FIT TROUSERS WITH PLEATED HEMS,7657609396303,42351139979343,Color,Grey marl,Size,XS,2950.0,2950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09696604803-p.jpg?v=1734592352,https://www.zara.com/in/en/carrot-fit-trousers-with-pleated-hems-p09521604.html?v1=419571763&v2=2420787,803
9521604,,7657609396303,42351140012111,,Grey marl,,S,2950.0,2950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09696604803-p.jpg?v=1734592352,https://www.zara.com/in/en/carrot-fit-trousers-with-pleated-hems-p09521604.html?v1=419571763&v2=2420787,803
9521604,,7657609396303,42351140044879,,Grey marl,,M,2950.0,2950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09696604803-p.jpg?v=1734592352,https://www.zara.com/in/en/carrot-fit-trousers-with-pleated-hems-p09521604.html?v1=419571763&v2=2420787,803
9521604,,7657609396303,42351140077647,,Grey marl,,L,2950.0,2950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09696604803-p.jpg?v=1734592352,https://www.zara.com/in/en/carrot-fit-trousers-with-pleated-hems-p09521604.html?v1=419571763&v2=2420787,803
9521604,,7657609396303,42351140110415,,Black,,XS,2950.0,2950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09521604800-015-p.jpg?v=1734592352,https://www.zara.com/in/en/carrot-fit-trousers-with-pleated-hems-p09521604.html?v1=415355023&v2=2420787,800
9521604,,7657609396303,42351140143183,,Black,,S,2950.0,2950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09521604800-015-p.jpg?v=1734592352,https://www.zara.com/in/en/carrot-fit-trousers-with-pleated-hems-p09521604.html?v1=415355023&v2=2420787,800
9521604,,7657609396303,42351140175951,,Black,,M,2950.0,2950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09521604800-015-p.jpg?v=1734592352,https://www.zara.com/in/en/carrot-fit-trousers-with-pleated-hems-p09521604.html?v1=415355023&v2=2420787,800
9476209,ZW COLLECTION RUFFLED DRESS,7657609363535,42351139946575,Color,Black,Size,M,5950.0,5950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09476209800-p.jpg?v=1734592344,https://www.zara.com/in/en/zw-collection-ruffled-dress-p09476209.html?v1=398138634&v2=2420900,800
9457072,ZW COLLECTION PRINTED DRAPED TOP,7657609330767,42351139913807,Color,Brown,Size,XS,2350.0,2350.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09457072700-p.jpg?v=1734592343,https://www.zara.com/in/en/zw-collection-printed-draped-top-p09457072.html?v1=386764523&v2=2419905,700
9457081,ZW COLLECTION PRINTED DRAPED TOP,7657609297999,42351139848271,Color,Ecru / Black,Size,S,2350.0,2350.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09457081070-p.jpg?v=1734592344,https://www.zara.com/in/en/zw-collection-printed-draped-top-p09457081.html?v1=405204884&v2=2419905,070
9457081,,7657609297999,42351139881039,,Ecru / Black,,M,2350.0,2350.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09457081070-p.jpg?v=1734592344,https://www.zara.com/in/en/zw-collection-printed-draped-top-p09457081.html?v1=405204884&v2=2419905,070
9247782,HALTER NECK MIDI DRESS,7657609265231,42351139782735,Color,Red,Size,XS,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09247782600-p.jpg?v=1734592338,https://www.zara.com/in/en/halter-neck-midi-dress-p09247782.html?v1=399507745&v2=2420900,600
9247782,,7657609265231,42351139815503,,Red,,S,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09247782600-p.jpg?v=1734592338,https://www.zara.com/in/en/halter-neck-midi-dress-p09247782.html?v1=399507745&v2=2420900,600
9240302,TEXTURED PIQUÉ POLO SHIRT,7657609232463,42351139749967,Color,Navy blue,Size,L,2950.0,2950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09240302401-p.jpg?v=1734592337,https://www.zara.com/in/en/textured-pique-polo-shirt-p09240302.html?v1=377591328&v2=2432054,401
9155230,FLOWING PRINTED SHIRT,7657609199695,42351139717199,Color,Multicoloured,Size,XXL,2950.0,2950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09155230330-p.jpg?v=1734592334,https://www.zara.com/in/en/flowing-printed-shirt-p09155230.html?v1=397860752&v2=2420363,330
9122554,VOLUMINOUS SHORT DRESS,7657609166927,42351139651663,Color,Grey,Size,XS,4350.0,4350.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09122554802-015-p.jpg?v=1734592334,https://www.zara.com/in/en/voluminous-short-dress-p09122554.html?v1=411858431&v2=2420826,802
9122554,,7657609166927,42351139684431,,Grey,,S,4350.0,4350.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09122554802-015-p.jpg?v=1734592334,https://www.zara.com/in/en/voluminous-short-dress-p09122554.html?v1=411858431&v2=2420826,802
9060581,TEXTURED SKORT,7657609134159,42351139618895,Color,Red / Black,Size,M,2950.0,2950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/09060581065-p.jpg?v=1734592328,https://www.zara.com/in/en/textured-skort-p09060581.html?v1=392996437&v2=2420439,065
8968191,PRINTED SATIN MIDI DRESS,7657609101391,42351139586127,Color,Multicoloured,Size,M,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08968191330-p.jpg?v=1734592326,https://www.zara.com/in/en/printed-satin-midi-dress-p08968191.html?v1=391064706&v2=2420900,330
8963245,ZW COLLECTION STRIPED WIDE-LEG TROUSERS,7657609068623,42351139455055,Color,Navy blue,Size,XS,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08963245401-p.jpg?v=1734592328,https://www.zara.com/in/en/zw-collection-striped-wide-leg-trousers-p08963245.html?v1=391559117&v2=2420777,401
8963245,,7657609068623,42351139487823,,Navy blue,,S,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08963245401-p.jpg?v=1734592328,https://www.zara.com/in/en/zw-collection-striped-wide-leg-trousers-p08963245.html?v1=391559117&v2=2420777,401
8963245,,7657609068623,42351139520591,,Navy blue,,M,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08963245401-p.jpg?v=1734592328,https://www.zara.com/in/en/zw-collection-striped-wide-leg-trousers-p08963245.html?v1=391559117&v2=2420777,401
8963245,,7657609068623,42351139553359,,Navy blue,,L,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08963245401-p.jpg?v=1734592328,https://www.zara.com/in/en/zw-collection-striped-wide-leg-trousers-p08963245.html?v1=391559117&v2=2420777,401
8959199,ZW COLLECTION STRAIGHT-FIT TROUSERS,7657609035855,42351139356751,Color,Burgundy,Size,XS,4350.0,4350.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08959199605-p.jpg?v=1734592324,https://www.zara.com/in/en/zw-collection-straight-fit-trousers-p08959199.html?v1=405189595&v2=2420787,605
8959199,,7657609035855,42351139389519,,Burgundy,,S,4350.0,4350.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08959199605-p.jpg?v=1734592324,https://www.zara.com/in/en/zw-collection-straight-fit-trousers-p08959199.html?v1=405189595&v2=2420787,605
8959199,,7657609035855,42351139422287,,Burgundy,,M,4350.0,4350.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08959199605-p.jpg?v=1734592324,https://www.zara.com/in/en/zw-collection-straight-fit-trousers-p08959199.html?v1=405189595&v2=2420787,605
8878527,HIGH-WAIST CULOTTE TROUSERS,7657609003087,42351139225679,Color,Indigo,Size,XS,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08878527405-p.jpg?v=1734592321,https://www.zara.com/in/en/high-waist-culotte-trousers-p08878527.html?v1=388654840&v2=2420787,405
8878527,,7657609003087,42351139258447,,Indigo,,S,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08878527405-p.jpg?v=1734592321,https://www.zara.com/in/en/high-waist-culotte-trousers-p08878527.html?v1=388654840&v2=2420787,405
8878527,,7657609003087,42351139291215,,Indigo,,M,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08878527405-p.jpg?v=1734592321,https://www.zara.com/in/en/high-waist-culotte-trousers-p08878527.html?v1=388654840&v2=2420787,405
8878527,,7657609003087,42351139323983,,Indigo,,L,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08878527405-p.jpg?v=1734592321,https://www.zara.com/in/en/high-waist-culotte-trousers-p08878527.html?v1=388654840&v2=2420787,405
8740162,SATIN SLIP DRESS - ZW COLLECTION,7657608970319,42351139192911,Color,Red,Size,M,2550.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08740162600-p.jpg?v=1734592316,https://www.zara.com/in/en/satin-slip-dress---zw-collection-p08740162.html?v1=387151346&v2=2420900,600
8574300,FAUX SUEDE BOMBER JACKET,7657608937551,42351139029071,Color,Stone,Size,S,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08574300806-p.jpg?v=1734592319,https://www.zara.com/in/en/faux-suede-bomber-jacket-p08574300.html?v1=410581056&v2=2467339,806
8574300,,7657608937551,42351139061839,,Stone,,L,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08574300806-p.jpg?v=1734592319,https://www.zara.com/in/en/faux-suede-bomber-jacket-p08574300.html?v1=410581056&v2=2467339,806
8574300,,7657608937551,42351139094607,,Khaki,,S,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08574300505-p.jpg?v=1734592319,https://www.zara.com/in/en/faux-suede-bomber-jacket-p08574300.html?v1=410581055&v2=2467339,505
8574300,,7657608937551,42351139127375,,Khaki,,M,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08574300505-p.jpg?v=1734592319,https://www.zara.com/in/en/faux-suede-bomber-jacket-p08574300.html?v1=410581055&v2=2467339,505
8574300,,7657608937551,42351139160143,,Khaki,,L,4950.0,4950.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08574300505-p.jpg?v=1734592319,https://www.zara.com/in/en/faux-suede-bomber-jacket-p08574300.html?v1=410581055&v2=2467339,505
8460027,ZW COLLECTION POPLIN SHIRT WITH TIE,7657608904783,42351138996303,Color,White,Size,S,1950.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08460027250-p.jpg?v=1734592313,https://www.zara.com/in/en/zw-collection-poplin-shirt-with-tie-p08460027.html?v1=376834957&v2=2420331,250
8372311,DARTED TROUSERS WITH BELT,7657608872015,42351138865231,Color,Black,Size,XS,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08372311800-p.jpg?v=1734592309,https://www.zara.com/in/en/darted-trousers-with-belt-p08372311.html?v1=385963953&v2=2420787,800
8372311,,7657608872015,42351138897999,,Black,,S,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/08372311800-p.jpg?v=1734592309,https://www.zara.com/in/en/darted-trousers-with-belt-p08372311.html?v1=385963953&v2=2420787,800
