Handle,Title,Body (HTML),Vendor,Product Category,Type,Command,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
02548520,FLOWING SHIRT,,Zara,,shirts,REPLACE,"Man, shirts, plain & formal",TRUE,Color,camel ,Size,M,,,,,shopify,1000.0,deny,manual,4350.00,4350.00,TRUE,,,https://static.zara.net/assets/public/3f99/ef19/b2464926b71a/328960eaed62/02548520704-p/02548520704-p.jpg?ts=1730994336691&w=2048,1,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/3f99/ef19/b2464926b71a/328960eaed62/02548520704-p/02548520704-p.jpg?ts=1730994336691&w=2048,,,,,,active
02548520,,,Zara,,shirts,REPLACE,,,Color,camel ,Size,XL,,,,,shopify,1000.0,deny,manual,4350.00,4350.00,TRUE,,,https://static.zara.net/assets/public/cb55/e6a8/ee6d44cb915e/79b00e5d6319/02548520704-a1/02548520704-a1.jpg?ts=1730994335485&w=2048,2,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/3f99/ef19/b2464926b71a/328960eaed62/02548520704-p/02548520704-p.jpg?ts=1730994336691&w=2048,,,,,,
02548520,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/2128/9331/0f10425d81ab/f2f318027a1b/02548520704-a2/02548520704-a2.jpg?ts=1730994332385&w=2048,3,,,,,,,,,,,,,,,,,,,,,,,,
02548520,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/6a83/3386/118547f29c5d/3e327ee947e3/02548520704-a3/02548520704-a3.jpg?ts=1730994334243&w=2048,4,,,,,,,,,,,,,,,,,,,,,,,,
02548520,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/843e/bfae/75f44d2aae12/fe5dd65299af/02548520704-a4/02548520704-a4.jpg?ts=1730994338595&w=2048,5,,,,,,,,,,,,,,,,,,,,,,,,
02548520,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/5199/9c1e/ecfd42c3923e/025b11aed725/02548520704-e1/02548520704-e1.jpg?ts=1730817989905&w=2048,6,,,,,,,,,,,,,,,,,,,,,,,,
02548520,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/8e5a/c0ca/9e9f41c28135/887c6616e223/02548520704-e2/02548520704-e2.jpg?ts=1730818232976&w=2048,7,,,,,,,,,,,,,,,,,,,,,,,,
02548520,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/926a/9a5b/dcaa4552b26d/efc2c67ccf9b/02548520704-e3/02548520704-e3.jpg?ts=1730817996924&w=2048,8,,,,,,,,,,,,,,,,,,,,,,,,
06571952,100% LINEN SHIRT,,Zara,,shirts,REPLACE,"Man, shirts, plain & formal",TRUE,Color,Light beige ,Size,S,,,,,shopify,1000.0,deny,manual,4350.00,4350.00,TRUE,,,https://static.zara.net/assets/public/cb0d/e52f/0c314052bf54/9100b9692628/06571952052-p/06571952052-p.jpg?ts=1723636059423&w=2048,1,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/cb0d/e52f/0c314052bf54/9100b9692628/06571952052-p/06571952052-p.jpg?ts=1723636059423&w=2048,,,,,,active
06571952,,,Zara,,shirts,REPLACE,,,Color,Light beige ,Size,M,,,,,shopify,1000.0,deny,manual,4350.00,4350.00,TRUE,,,https://static.zara.net/assets/public/c4cd/8e31/e75248cf91f6/d937fc531702/06571952052-a1/06571952052-a1.jpg?ts=1723636062297&w=2048,2,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/cb0d/e52f/0c314052bf54/9100b9692628/06571952052-p/06571952052-p.jpg?ts=1723636059423&w=2048,,,,,,
06571952,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/d91f/0321/a6cc4046a218/d31ab5e82770/06571952052-a2/06571952052-a2.jpg?ts=1723636088447&w=2048,3,,,,,,,,,,,,,,,,,,,,,,,,
06571952,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/0075/4df4/be8c4860b5b2/59555b823470/06571952052-a3/06571952052-a3.jpg?ts=1723636060615&w=2048,4,,,,,,,,,,,,,,,,,,,,,,,,
06571952,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/94d8/c30c/61894b858d62/c847b79bf4b2/06571952052-a4/06571952052-a4.jpg?ts=1723636078190&w=2048,5,,,,,,,,,,,,,,,,,,,,,,,,
06571952,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/d498/fca7/1eca40429602/da0262224b23/06571952052-e1/06571952052-e1.jpg?ts=1723809812665&w=2048,6,,,,,,,,,,,,,,,,,,,,,,,,
06571952,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/daef/ab6f/d0564b819950/4e53cd54e866/06571952052-e2/06571952052-e2.jpg?ts=1723534178183&w=2048,7,,,,,,,,,,,,,,,,,,,,,,,,
06571952,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/ceee/7f0f/dee94b379f1a/33342706db94/06571952052-e3/06571952052-e3.jpg?ts=1723534179085&w=2048,8,,,,,,,,,,,,,,,,,,,,,,,,
