Handle,Title,Body (HTML),Vendor,Product Category,Type,Command,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
08073259,SOFT COAT,,Zara,,coat & puffers,REPLACE,"Woman, coat & puffers, coats",TRUE,Color,camel ,Size,XS,,,,,shopify,1000.0,deny,manual,4950.00,4950.00,TRUE,,,https://static.zara.net/assets/public/a75a/52e7/48d0437f8777/da123f117f65/08073260704-p/08073260704-p.jpg?ts=1731662535393&w=2048,1,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/a75a/52e7/48d0437f8777/da123f117f65/08073260704-p/08073260704-p.jpg?ts=1731662535393&w=2048,,,,,,active
08073259,,,Zara,,coat & puffers,REPLACE,,,Color,camel ,Size,S,,,,,shopify,1000.0,deny,manual,4950.00,4950.00,TRUE,,,https://static.zara.net/assets/public/5971/bad9/44624a7f89d8/09283f3b1b98/08073260704-a1/08073260704-a1.jpg?ts=1731662536093&w=2048,2,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/a75a/52e7/48d0437f8777/da123f117f65/08073260704-p/08073260704-p.jpg?ts=1731662535393&w=2048,,,,,,
08073259,,,Zara,,coat & puffers,REPLACE,,,Color,camel ,Size,M,,,,,shopify,1000.0,deny,manual,4950.00,4950.00,TRUE,,,https://static.zara.net/assets/public/6913/f681/d23945749e04/78779ed49550/08073260704-a2/08073260704-a2.jpg?ts=1731662534812&w=2048,3,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/a75a/52e7/48d0437f8777/da123f117f65/08073260704-p/08073260704-p.jpg?ts=1731662535393&w=2048,,,,,,
08073259,,,Zara,,coat & puffers,REPLACE,,,Color,camel ,Size,XL,,,,,shopify,1000.0,deny,manual,4950.00,4950.00,TRUE,,,https://static.zara.net/assets/public/df2f/bfbc/89d44a99a365/1dc498ca1584/08073260704-a3/08073260704-a3.jpg?ts=1731662533629&w=2048,4,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/a75a/52e7/48d0437f8777/da123f117f65/08073260704-p/08073260704-p.jpg?ts=1731662535393&w=2048,,,,,,
08073259,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/221e/4896/d6434421a534/56482112d1be/08073260704-e1/08073260704-e1.jpg?ts=1725627842564&w=2048,5,,,,,,,,,,,,,,,,,,,,,,,,
08073259,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/2bd7/7801/89874b77b216/960108e9de42/08073260704-e2/08073260704-e2.jpg?ts=1725962000121&w=2048,6,,,,,,,,,,,,,,,,,,,,,,,,
08073259,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/cb79/5af0/fc9c4b77920a/58553d659b17/08073260704-e3/08073260704-e3.jpg?ts=1725962011398&w=2048,7,,,,,,,,,,,,,,,,,,,,,,,,
08073259,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/ddcf/ebd0/5c8247cebbcb/8122e4f4d644/08073260704-e4/08073260704-e4.jpg?ts=1725962016706&w=2048,8,,,,,,,,,,,,,,,,,,,,,,,,
08073259,,,,,,REPLACE,,,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/b99f/a104/ffcd40eaaaa6/7f65f519bb44/08073260704-e5/08073260704-e5.jpg?ts=1725962012969&w=2048,9,,,,,,,,,,,,,,,,,,,,,,,,
08073270,ANIMAL PRINT FAUX FUR COAT,,Zara,,coat & puffers,REPLACE,"Woman, coat & puffers, coats",TRUE,Color,Leopard ,Size,M,,,,,shopify,1000.0,deny,manual,7550.00,7550.00,TRUE,,,https://static.zara.net/assets/public/a8e6/cf8d/ddf84b9287d6/93ca24934e46/08073270051-p/08073270051-p.jpg?ts=1728034478983&w=2048,1,,,,,,,,,,,,,,,,,,https://static.zara.net/assets/public/a8e6/cf8d/ddf84b9287d6/93ca24934e46/08073270051-p/08073270051-p.jpg?ts=1728034478983&w=2048,,,,,,active
